Species,Sign,Reaction,Rate_Expression,,species_name,leading_sign,expression,,,,,,,,,,,,,,
AB40_Fibril22,-,AB40_fibril23_formation,k_F22_F23_forty*AB40_Fibril22*AB40_Monomer*VIS_brain,,AB40_Fibril22,-,(fta2 * Antibody_unbound_ISF * AB40_Fibril22),,,,,,,,,,,,,,
AB40_Fibril22,+,AB40_fibril23_dissociation,k_F23_F22_forty*AB40_Fibril23*VIS_brain,,AB40_Fibril22,-,(AB40_Fibril22 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Fibril22,-,AB40_Fibril22_to_PVS,(1 - sigma_ISF_ABeta40_oligomer22)*Q_PVS*AB40_Fibril22,,AB40_Fibril22,-,((1 - sigma_ISF_ABeta40_oligomer022) * Q_PVS * AB40_Fibril22 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Fibril22_Antibody_bound,+,AB40_antibody_fibril22_binding,fta2*AB40_Fibril22*Ab_t*VIS_brain,,AB40_Fibril22_Antibody_bound,-,(AB40_Fibril22_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Fibril22_Antibody_bound,-,AB40_Fibril22_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril22_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Fibril22_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB40_Fibril22,,,,,,,,,,,,,,
AB40_Fibril22_PVS,+,AB40_Fibril22_to_PVS,(1 - sigma_ISF_ABeta40_oligomer22)*Q_PVS*AB40_Fibril22,,AB40_Fibril22_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB40_Fibril22_PVS),,,,,,,,,,,,,,
AB40_Fibril22_PVS,-,AB40_Fibril22_PVS_binding,fta2*AB40_Fibril22_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril22_PVS,+,(1 - sigma_ISF_ABeta40_oligomer022) * Q_PVS * AB40_Fibril22 / V_PVS,,,,,,,,,,,,,,
AB40_Fibril22_PVS,-,AB40_Fibril22_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Fibril22_PVS,,AB40_Fibril22_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Fibril22_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Fibril22_PVS_bound,+,AB40_Fibril22_PVS_binding,fta2*AB40_Fibril22_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril22_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB40_Fibril22_PVS,,,,,,,,,,,,,,
AB40_Fibril22_PVS_bound,-,AB40_Fibril22_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Fibril22_PVS_bound,,AB40_Fibril22_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Fibril22_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Fibril23,+,AB40_fibril23_formation,k_F22_F23_forty*AB40_Fibril22*AB40_Monomer*VIS_brain,,AB40_Fibril23,+,k_F22_F23_forty * AB40_Monomer * AB40_Fibril22,,,,,,,,,,,,,,
AB40_Fibril23,-,AB40_fibril23_dissociation,k_F23_F22_forty*AB40_Fibril23*VIS_brain,,AB40_Fibril23,-,(k_F23_F22_forty * AB40_Fibril23),,,,,,,,,,,,,,
AB40_Fibril23,-,AB40_antibody_fibril23_binding,fta2*AB40_Fibril23*Ab_t*VIS_brain,,AB40_Fibril23,-,(k_F23_F24_forty * AB40_Monomer * AB40_Fibril23),,,,,,,,,,,,,,
AB40_Fibril23,-,AB40_microglia_fibril23_clearance,Microglia_Vmax_forty*AB40_Fibril23*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Fibril23,+,k_F24_F23_forty * AB40_Fibril24,,,,,,,,,,,,,,
AB40_Fibril23,-,AB40_fibril24_formation,k_F23_F24_forty*AB40_Fibril23*AB40_Monomer*VIS_brain,,AB40_Fibril23,-,(fta2 * Antibody_unbound_ISF * AB40_Fibril23),,,,,,,,,,,,,,
